Component Description,QTY,Ref Des,Mfg P/N #,Manufacturer,Distributor P/N #
"Non-Polarized Capacitor, 4.7uF, SMD_0805_2012Metric","3","C1,C2,C5","C2012X7R1E475K125AB","TDK",""
"Non-Polarized Capacitor, 10nF, SMD_0603_1608Metric","1","C8","C1608X7R1H103K080AA","TDK",""
"Non-Polarized Capacitor, 100nF, SMD_0603_1608Metric","9","C10,C11,C26,C28,C29,C3,C30,C4,C6","C1608X7R1H104K080AA","TDK",""
"Non-Polarized Capacitor, 12pF, SMD_0603_1608Metric","6","C12,C13,C14,C19,C20,C21","C0603C120J5GACTU","KEMET",""
"Non-Polarized Capacitor, 8.2pF, SMD_0603_1608Metric","2","C15,C22","C0603C829C5GACTU","KEMET",""
"Non-Polarized Capacitor, 1.0nF, SMD_0603_1608Metric","2","C18,C25","C0603C102J5GACTU","KEMET",""
"Non-Polarized Capacitor, 1uF, SMD_0603_1608Metric","3","C27,C7,C9","C1608X7R1E105K080AB","TDK",""
"Protection","1","D1","USBLC6-2SC6","STMicroelectronics",""
"Diode, D_SMA","1","D2","SMAJ5.0A-TR","STMicroelectronics",""
"Diodes - General Purpose, SOT-23_L2.9-W1.3-P1.90-LS2.4-BR","2","D3,D4","BAV199LT1G","onsemi(安森美)",""
"Resettable Fuses, F0805","1","F1","MF-PSMF035X-2","BOURNS",""
"Ferrite Beads, L0805","1","FB1","BLM21PG221SZ1D","muRata(村田)",""
"USB C, GCT_USB4215-03-A_REVA","1","J1","USB4215-03-A","GCT",""
"Connector","2","J2,J3","0731000105","Molex",""
"Connector","1","J4","SSW-120-01-T-S","Samtec",""
"Connector, FTSH-107-XX-YYY-DV-K-P-TR","1","J5","FTSH-107-01-L-DV-K-P-TR","SAMTEC",""
"LED, D_0603_1608Metric","1","LED1","APTD1608CGCK","Kingbright",""
"LED","1","LED2","150060RS75000","Würth Elektronik",""
"LED","1","LED3","150060YS75000","Würth Elektronik",""
"Light Emitting Diodes (LED), LED0603-RD","1","LED4","LTST-C190TBKT","LITEON(光宝)",""
"MOSFETs, SOT-23-3_L2.9-W1.6-P1.90-LS2.8-BR","1","Q1","NCE3401","NCE(无锡新洁能)",""
"MOSFETs, SOT-23-3_L2.9-W1.3-P1.90-LS2.4-BR","1","Q2","2N7002KT1G","onsemi(安森美)",""
"Resistor, 5.1kΩ, SMD_0603_1608Metric","2","R1,R2","RC0603FR-075K1L","Yageo",""
"Resistor, 0Ω, SMD_0603_1608Metric","2","R3,R33","RC0603JR-070RL","Yageo",""
"Resistor, 200kΩ, SMD_1206_3216Metric","2","R10,R16","TNPW1206200KBYEA","Vishay",""
"Resistor, 10kΩ, SMD_0603_1608Metric","7","R11,R17,R23,R25,R27,R5,R6","RC0603FR-0710KL","Yageo",""
"Resistor, 47Ω, SMD_0603_1608Metric","2","R12,R18","RC0603FR-0747RL","Yageo",""
"Resistor, 300kΩ, SMD_1206_3216Metric","6","R13,R14,R15,R7,R8,R9","TNPW1206300KBYEA","Vishay",""
"Resistor, 27Ω, SMD_2010_5025Metric","1","R19","RC2010FK-0727RL","Yageo",""
"Resistor, 100kΩ, SMD_0603_1608Metric","3","R20,R22,R4","RC0603FR-07100KL","Yageo",""
"Resistor, 100Ω, SMD_0603_1608Metric","4","R21,R24,R26,R28","RC0603FR-07100RL","Yageo",""
"Resistor, 200Ω, SMD_0603_1608Metric","4","R29,R30,R31,R32","RC0603FR-07200RL","Yageo",""
"Electromechanical Components","3","SW1,SW2,SW3","434123043816","Würth",""
"Connector","14","TP_3V3,TP_BL_K,TP_CH1_ADC,TP_CH1_DIV,TP_CH1_IN,TP_CH2_ADC,TP_CH2_DIV,TP_CH2_IN,TP_NRST,TP_USB_DM,TP_USB_DP,TP_VBUS_PROT,TP_VBUS_RAW,TP_VDDA","PCB-TESTPAD-1.0X1.0","PCB Fabricated Feature",""
"Test Points/Test Rings, CONN-TH_L3.0-W1.2","1","TP_GND","4952","Keystone",""
"ST Microelectronics, UFQFPN-32_L5.0-W5.0-P0.50-TL-EP3.5","1","U1","STM32L432KCU6","ST(意法半导体)",""
"Linear Voltage Regulators (LDO), SOT-89-5_L4.5-W2.5-P1.50-LS4.5-BR","1","U2","AP7361C-33Y5-13","DIODES(美台)",""
"Operational Amplifier (OP-AMP), SOP65P490X110-8N","1","U3","TLV9062IDGKR","Texas Instruments",""
