Reference designators,Quantity,MPN,Manufacturer,Part description,Value,SPN,Supplier,Package
"C1,C2,C5","3","C2012X7R1E475K125AB","TDK","Non-Polarized Capacitor, 4.7uF, SMD_0805_2012Metric","4.7uF","","Digi-Key",""
"C8","1","C1608X7R1H103K080AA","TDK","Non-Polarized Capacitor, 10nF, SMD_0603_1608Metric","10nF","","Digi-Key",""
"C10,C11,C26,C28,C29,C3,C30,C4,C6","9","C1608X7R1H104K080AA","TDK","Non-Polarized Capacitor, 100nF, SMD_0603_1608Metric","100nF","","Digi-Key",""
"C12,C13,C14,C19,C20,C21","6","C0603C120J5GACTU","KEMET","Non-Polarized Capacitor, 12pF, SMD_0603_1608Metric","12pF","","Mouser",""
"C15,C22","2","C0603C829C5GACTU","KEMET","Non-Polarized Capacitor, 8.2pF, SMD_0603_1608Metric","8.2pF","","Mouser",""
"C18,C25","2","C0603C102J5GACTU","KEMET","Non-Polarized Capacitor, 1.0nF, SMD_0603_1608Metric","1.0nF","","Mouser",""
"C27,C7,C9","3","C1608X7R1E105K080AB","TDK","Non-Polarized Capacitor, 1uF, SMD_0603_1608Metric","1uF","","Digi-Key",""
"D1","1","USBLC6-2SC6","STMicroelectronics","Protection","","","",""
"D2","1","SMAJ5.0A-TR","STMicroelectronics","Diode, D_SMA","","","","D_SMA"
"D3,D4","2","BAV199LT1G","onsemi(安森美)","Diodes - General Purpose, SOT-23_L2.9-W1.3-P1.90-LS2.4-BR","","","","SOT-23_L2.9-W1.3-P1.90-LS2.4-BR"
"F1","1","MF-PSMF035X-2","BOURNS","Resettable Fuses, F0805","","","","F0805"
"FB1","1","BLM21PG221SZ1D","muRata(村田)","Ferrite Beads, L0805","","","","L0805"
"J1","1","USB4215-03-A","GCT","USB C, GCT_USB4215-03-A_REVA","","","","GCT_USB4215-03-A_REVA"
"J2,J3","2","0731000105","Molex","Connector","","","",""
"J4","1","SSW-120-01-T-S","Samtec","Connector","","","",""
"J5","1","FTSH-107-01-L-DV-K-P-TR","SAMTEC","Connector, FTSH-107-XX-YYY-DV-K-P-TR","","","","FTSH-107-XX-YYY-DV-K-P-TR"
"LED1","1","APTD1608CGCK","Kingbright","LED, D_0603_1608Metric","","","","D_0603_1608Metric"
"LED2","1","150060RS75000","Würth Elektronik","LED","","","",""
"LED3","1","150060YS75000","Würth Elektronik","LED","","","",""
"LED4","1","LTST-C190TBKT","LITEON(光宝)","Light Emitting Diodes (LED), LED0603-RD","","","","LED0603-RD"
"Q1","1","NCE3401","NCE(无锡新洁能)","MOSFETs, SOT-23-3_L2.9-W1.6-P1.90-LS2.8-BR","","","","SOT-23-3_L2.9-W1.6-P1.90-LS2.8-BR"
"Q2","1","2N7002KT1G","onsemi(安森美)","MOSFETs, SOT-23-3_L2.9-W1.3-P1.90-LS2.4-BR","","","","SOT-23-3_L2.9-W1.3-P1.90-LS2.4-BR"
"R1,R2","2","RC0603FR-075K1L","Yageo","Resistor, 5.1kΩ, SMD_0603_1608Metric","5.1kΩ","","Mouser",""
"R3,R33","2","RC0603JR-070RL","Yageo","Resistor, 0Ω, SMD_0603_1608Metric","0Ω","","Mouser",""
"R10,R16","2","TNPW1206200KBYEA","Vishay","Resistor, 200kΩ, SMD_1206_3216Metric","200kΩ","","Digi-Key",""
"R11,R17,R23,R25,R27,R5,R6","7","RC0603FR-0710KL","Yageo","Resistor, 10kΩ, SMD_0603_1608Metric","10kΩ","","Mouser",""
"R12,R18","2","RC0603FR-0747RL","Yageo","Resistor, 47Ω, SMD_0603_1608Metric","47Ω","","Mouser",""
"R13,R14,R15,R7,R8,R9","6","TNPW1206300KBYEA","Vishay","Resistor, 300kΩ, SMD_1206_3216Metric","300kΩ","","Digi-Key",""
"R19","1","RC2010FK-0727RL","Yageo","Resistor, 27Ω, SMD_2010_5025Metric","27Ω","","Mouser",""
"R20,R22,R4","3","RC0603FR-07100KL","Yageo","Resistor, 100kΩ, SMD_0603_1608Metric","100kΩ","","Mouser",""
"R21,R24,R26,R28","4","RC0603FR-07100RL","Yageo","Resistor, 100Ω, SMD_0603_1608Metric","100Ω","","Mouser",""
"R29,R30,R31,R32","4","RC0603FR-07200RL","Yageo","Resistor, 200Ω, SMD_0603_1608Metric","200Ω","","Mouser",""
"SW1,SW2,SW3","3","434123043816","Würth","Electromechanical Components","","","",""
"TP_3V3,TP_BL_K,TP_CH1_ADC,TP_CH1_DIV,TP_CH1_IN,TP_CH2_ADC,TP_CH2_DIV,TP_CH2_IN,TP_NRST,TP_USB_DM,TP_USB_DP,TP_VBUS_PROT,TP_VBUS_RAW,TP_VDDA","14","PCB-TESTPAD-1.0X1.0","PCB Fabricated Feature","Connector","","","",""
"TP_GND","1","4952","Keystone","Test Points/Test Rings, CONN-TH_L3.0-W1.2","","","","CONN-TH_L3.0-W1.2"
"U1","1","STM32L432KCU6","ST(意法半导体)","ST Microelectronics, UFQFPN-32_L5.0-W5.0-P0.50-TL-EP3.5","","","","UFQFPN-32_L5.0-W5.0-P0.50-TL-EP3.5"
"U2","1","AP7361C-33Y5-13","DIODES(美台)","Linear Voltage Regulators (LDO), SOT-89-5_L4.5-W2.5-P1.50-LS4.5-BR","","","","SOT-89-5_L4.5-W2.5-P1.50-LS4.5-BR"
"U3","1","TLV9062IDGKR","Texas Instruments","Operational Amplifier (OP-AMP), SOP65P490X110-8N","","","","SOP65P490X110-8N"
