Designator,Manufacturer Part Number or Seeed SKU,QTY,Link
"C1,C2,C5","C2012X7R1E475K125AB","3",""
"C8","C1608X7R1H103K080AA","1",""
"C10,C11,C26,C28,C29,C3,C30,C4,C6","C1608X7R1H104K080AA","9",""
"C12,C13,C14,C19,C20,C21","C0603C120J5GACTU","6",""
"C15,C22","C0603C829C5GACTU","2",""
"C18,C25","C0603C102J5GACTU","2",""
"C27,C7,C9","C1608X7R1E105K080AB","3",""
"D1","USBLC6-2SC6","1",""
"D2","SMAJ5.0A-TR","1",""
"D3,D4","BAV199LT1G","2",""
"F1","MF-PSMF035X-2","1",""
"FB1","BLM21PG221SZ1D","1",""
"J1","USB4215-03-A","1",""
"J2,J3","0731000105","2",""
"J4","SSW-120-01-T-S","1",""
"J5","FTSH-107-01-L-DV-K-P-TR","1",""
"LED1","APTD1608CGCK","1",""
"LED2","150060RS75000","1",""
"LED3","150060YS75000","1",""
"LED4","LTST-C190TBKT","1",""
"Q1","NCE3401","1",""
"Q2","2N7002KT1G","1",""
"R1,R2","RC0603FR-075K1L","2",""
"R3,R33","RC0603JR-070RL","2",""
"R10,R16","TNPW1206200KBYEA","2",""
"R11,R17,R23,R25,R27,R5,R6","RC0603FR-0710KL","7",""
"R12,R18","RC0603FR-0747RL","2",""
"R13,R14,R15,R7,R8,R9","TNPW1206300KBYEA","6",""
"R19","RC2010FK-0727RL","1",""
"R20,R22,R4","RC0603FR-07100KL","3",""
"R21,R24,R26,R28","RC0603FR-07100RL","4",""
"R29,R30,R31,R32","RC0603FR-07200RL","4",""
"SW1,SW2,SW3","434123043816","3",""
"TP_3V3,TP_BL_K,TP_CH1_ADC,TP_CH1_DIV,TP_CH1_IN,TP_CH2_ADC,TP_CH2_DIV,TP_CH2_IN,TP_NRST,TP_USB_DM,TP_USB_DP,TP_VBUS_PROT,TP_VBUS_RAW,TP_VDDA","PCB-TESTPAD-1.0X1.0","14",""
"TP_GND","4952","1",""
"U1","STM32L432KCU6","1",""
"U2","AP7361C-33Y5-13","1",""
"U3","TLV9062IDGKR","1",""
