Comment,Designator,Footprint,JLCPCB Part #,LCSC Part #
"C2012X7R1E475K125AB","C1, C2, C5","","",""
"C1608X7R1H103K080AA","C8","","",""
"C1608X7R1H104K080AA","C10, C11, C26, C28, C29, C3, C30, C4, C6","","",""
"C0603C120J5GACTU","C12, C13, C14, C19, C20, C21","","",""
"C0603C829C5GACTU","C15, C22","","",""
"C0603C102J5GACTU","C18, C25","","",""
"C1608X7R1E105K080AB","C27, C7, C9","","",""
"USBLC6-2SC6","D1","","","C7519"
"SMAJ5.0A-TR","D2","D_SMA","",""
"BAV199LT1G","D3, D4","SOT-23_L2.9-W1.3-P1.90-LS2.4-BR","","C145516"
"MF-PSMF035X-2","F1","F0805","","C116172"
"BLM21PG221SZ1D","FB1","L0805","","C437411"
"USB4215-03-A","J1","GCT_USB4215-03-A_REVA","",""
"0731000105","J2, J3","","",""
"SSW-120-01-T-S","J4","","",""
"FTSH-107-01-L-DV-K-P-TR","J5","FTSH-107-XX-YYY-DV-K-P-TR","",""
"APTD1608CGCK","LED1","D_0603_1608Metric","",""
"150060RS75000","LED2","","",""
"150060YS75000","LED3","","",""
"LTST-C190TBKT","LED4","LED0603-RD","","C125096"
"NCE3401","Q1","SOT-23-3_L2.9-W1.6-P1.90-LS2.8-BR","","C113490"
"2N7002KT1G","Q2","SOT-23-3_L2.9-W1.3-P1.90-LS2.4-BR","","C116584"
"RC0603FR-075K1L","R1, R2","","",""
"RC0603JR-070RL","R3, R33","","",""
"TNPW1206200KBYEA","R10, R16","","",""
"RC0603FR-0710KL","R11, R17, R23, R25, R27, R5, R6","","",""
"RC0603FR-0747RL","R12, R18","","",""
"TNPW1206300KBYEA","R13, R14, R15, R7, R8, R9","","",""
"RC2010FK-0727RL","R19","","",""
"RC0603FR-07100KL","R20, R22, R4","","",""
"RC0603FR-07100RL","R21, R24, R26, R28","","",""
"RC0603FR-07200RL","R29, R30, R31, R32","","",""
"434123043816","SW1, SW2, SW3","","",""
"PCB-TESTPAD-1.0X1.0","TP_3V3, TP_BL_K, TP_CH1_ADC, TP_CH1_DIV, TP_CH1_IN, TP_CH2_ADC, TP_CH2_DIV, TP_CH2_IN, TP_NRST, TP_USB_DM, TP_USB_DP, TP_VBUS_PROT, TP_VBUS_RAW, TP_VDDA","","",""
"4952","TP_GND","CONN-TH_L3.0-W1.2","","C238118"
"STM32L432KCU6","U1","UFQFPN-32_L5.0-W5.0-P0.50-TL-EP3.5","","C1337280"
"AP7361C-33Y5-13","U2","SOT-89-5_L4.5-W2.5-P1.50-LS4.5-BR","","C460397"
"TLV9062IDGKR","U3","SOP65P490X110-8N","",""
