Item #,Designator,Qty,Manufacturer,Mfg Part #,Description / Value,Package/Footprint,Type,Your Instructions / Notes
"1","C1,C2,C5","3","TDK","C2012X7R1E475K125AB","Non-Polarized Capacitor, 4.7uF, SMD_0805_2012Metric","","",""
"2","C8","1","TDK","C1608X7R1H103K080AA","Non-Polarized Capacitor, 10nF, SMD_0603_1608Metric","","",""
"3","C10,C11,C26,C28,C29,C3,C30,C4,C6","9","TDK","C1608X7R1H104K080AA","Non-Polarized Capacitor, 100nF, SMD_0603_1608Metric","","",""
"4","C12,C13,C14,C19,C20,C21","6","KEMET","C0603C120J5GACTU","Non-Polarized Capacitor, 12pF, SMD_0603_1608Metric","","",""
"5","C15,C22","2","KEMET","C0603C829C5GACTU","Non-Polarized Capacitor, 8.2pF, SMD_0603_1608Metric","","",""
"6","C18,C25","2","KEMET","C0603C102J5GACTU","Non-Polarized Capacitor, 1.0nF, SMD_0603_1608Metric","","",""
"7","C27,C7,C9","3","TDK","C1608X7R1E105K080AB","Non-Polarized Capacitor, 1uF, SMD_0603_1608Metric","","",""
"8","D1","1","STMicroelectronics","USBLC6-2SC6","Protection","","",""
"9","D2","1","STMicroelectronics","SMAJ5.0A-TR","Diode, D_SMA","D_SMA","",""
"10","D3,D4","2","onsemi(安森美)","BAV199LT1G","Diodes - General Purpose, SOT-23_L2.9-W1.3-P1.90-LS2.4-BR","SOT-23_L2.9-W1.3-P1.90-LS2.4-BR","",""
"11","F1","1","BOURNS","MF-PSMF035X-2","Resettable Fuses, F0805","F0805","",""
"12","FB1","1","muRata(村田)","BLM21PG221SZ1D","Ferrite Beads, L0805","L0805","",""
"13","J1","1","GCT","USB4215-03-A","USB C, GCT_USB4215-03-A_REVA","GCT_USB4215-03-A_REVA","",""
"14","J2,J3","2","Molex","0731000105","Connector","","",""
"15","J4","1","Samtec","SSW-120-01-T-S","Connector","","",""
"16","J5","1","SAMTEC","FTSH-107-01-L-DV-K-P-TR","Connector, FTSH-107-XX-YYY-DV-K-P-TR","FTSH-107-XX-YYY-DV-K-P-TR","",""
"17","LED1","1","Kingbright","APTD1608CGCK","LED, D_0603_1608Metric","D_0603_1608Metric","",""
"18","LED2","1","Würth Elektronik","150060RS75000","LED","","",""
"19","LED3","1","Würth Elektronik","150060YS75000","LED","","",""
"20","LED4","1","LITEON(光宝)","LTST-C190TBKT","Light Emitting Diodes (LED), LED0603-RD","LED0603-RD","",""
"21","Q1","1","NCE(无锡新洁能)","NCE3401","MOSFETs, SOT-23-3_L2.9-W1.6-P1.90-LS2.8-BR","SOT-23-3_L2.9-W1.6-P1.90-LS2.8-BR","",""
"22","Q2","1","onsemi(安森美)","2N7002KT1G","MOSFETs, SOT-23-3_L2.9-W1.3-P1.90-LS2.4-BR","SOT-23-3_L2.9-W1.3-P1.90-LS2.4-BR","",""
"23","R1,R2","2","Yageo","RC0603FR-075K1L","Resistor, 5.1kΩ, SMD_0603_1608Metric","","",""
"24","R3,R33","2","Yageo","RC0603JR-070RL","Resistor, 0Ω, SMD_0603_1608Metric","","",""
"25","R10,R16","2","Vishay","TNPW1206200KBYEA","Resistor, 200kΩ, SMD_1206_3216Metric","","",""
"26","R11,R17,R23,R25,R27,R5,R6","7","Yageo","RC0603FR-0710KL","Resistor, 10kΩ, SMD_0603_1608Metric","","",""
"27","R12,R18","2","Yageo","RC0603FR-0747RL","Resistor, 47Ω, SMD_0603_1608Metric","","",""
"28","R13,R14,R15,R7,R8,R9","6","Vishay","TNPW1206300KBYEA","Resistor, 300kΩ, SMD_1206_3216Metric","","",""
"29","R19","1","Yageo","RC2010FK-0727RL","Resistor, 27Ω, SMD_2010_5025Metric","","",""
"30","R20,R22,R4","3","Yageo","RC0603FR-07100KL","Resistor, 100kΩ, SMD_0603_1608Metric","","",""
"31","R21,R24,R26,R28","4","Yageo","RC0603FR-07100RL","Resistor, 100Ω, SMD_0603_1608Metric","","",""
"32","R29,R30,R31,R32","4","Yageo","RC0603FR-07200RL","Resistor, 200Ω, SMD_0603_1608Metric","","",""
"33","SW1,SW2,SW3","3","Würth","434123043816","Electromechanical Components","","",""
"34","TP_3V3,TP_BL_K,TP_CH1_ADC,TP_CH1_DIV,TP_CH1_IN,TP_CH2_ADC,TP_CH2_DIV,TP_CH2_IN,TP_NRST,TP_USB_DM,TP_USB_DP,TP_VBUS_PROT,TP_VBUS_RAW,TP_VDDA","14","PCB Fabricated Feature","PCB-TESTPAD-1.0X1.0","Connector","","",""
"35","TP_GND","1","Keystone","4952","Test Points/Test Rings, CONN-TH_L3.0-W1.2","CONN-TH_L3.0-W1.2","",""
"36","U1","1","ST(意法半导体)","STM32L432KCU6","ST Microelectronics, UFQFPN-32_L5.0-W5.0-P0.50-TL-EP3.5","UFQFPN-32_L5.0-W5.0-P0.50-TL-EP3.5","",""
"37","U2","1","DIODES(美台)","AP7361C-33Y5-13","Linear Voltage Regulators (LDO), SOT-89-5_L4.5-W2.5-P1.50-LS4.5-BR","SOT-89-5_L4.5-W2.5-P1.50-LS4.5-BR","",""
"38","U3","1","Texas Instruments","TLV9062IDGKR","Operational Amplifier (OP-AMP), SOP65P490X110-8N","SOP65P490X110-8N","",""
