Designator,Mid X,Mid Y,Layer,Rotation,Package,Value
"C1","26.5mm","15.5mm","Top",0,"SMD_0805_2012Metric","4.7uF"
"C2","26.5mm","9.5mm","Top",0,"SMD_0805_2012Metric","4.7uF"
"C3","21mm","3.6mm","Top",0,"SMD_0603_1608Metric","100nF"
"C4","29.5mm","-3.2mm","Top",0,"SMD_0603_1608Metric","100nF"
"C5","28.8mm","4mm","Top",0,"SMD_0805_2012Metric","4.7uF"
"C6","21.5mm","-3.7mm","Top",0,"SMD_0603_1608Metric","100nF"
"C7","24.2mm","-4.4mm","Top",0,"SMD_0603_1608Metric","1uF"
"C8","21.5mm","-5.5mm","Top",0,"SMD_0603_1608Metric","10nF"
"C9","24.2mm","-6.2mm","Top",0,"SMD_0603_1608Metric","1uF"
"C10","24.8mm","7mm","Top",0,"SMD_0603_1608Metric","100nF"
"C11","7mm","-6mm","Top",0,"SMD_0603_1608Metric","100nF"
"C12","-19.5mm","17.5mm","Top",0,"SMD_0603_1608Metric","12pF"
"C13","-14.5mm","17.5mm","Top",0,"SMD_0603_1608Metric","12pF"
"C14","-9.5mm","17.5mm","Top",0,"SMD_0603_1608Metric","12pF"
"C15","-10mm","10.5mm","Top",90,"SMD_0603_1608Metric","8.2pF"
"C18","19mm","2mm","Top",0,"SMD_0603_1608Metric","1.0nF"
"C19","-19.5mm","-17.5mm","Top",0,"SMD_0603_1608Metric","12pF"
"C20","-14.5mm","-17.5mm","Top",0,"SMD_0603_1608Metric","12pF"
"C21","-9.5mm","-17.5mm","Top",0,"SMD_0603_1608Metric","12pF"
"C22","-10mm","-10.5mm","Top",90,"SMD_0603_1608Metric","8.2pF"
"C25","19mm","-2mm","Top",0,"SMD_0603_1608Metric","1.0nF"
"C26","-8.5mm","44.5mm","Top",0,"SMD_0603_1608Metric","100nF"
"C27","20mm","44.5mm","Top",0,"SMD_0603_1608Metric","1uF"
"C28","-25mm","-35.5mm","Top",0,"SMD_0603_1608Metric","100nF"
"C29","-9mm","-35.5mm","Top",0,"SMD_0603_1608Metric","100nF"
"C30","7mm","-35.5mm","Top",0,"SMD_0603_1608Metric","100nF"
"D1","40mm","1mm","Top",0,"",""
"D2","36mm","15.5mm","Top",0,"D_SMA",""
"D3","-3mm","13mm","Top",0,"SOT-23_L2.9-W1.3-P1.90-LS2.4-BR",""
"D4","-3mm","-13mm","Top",0,"SOT-23_L2.9-W1.3-P1.90-LS2.4-BR",""
"F1","39.5mm","9.5mm","Top",0,"F0805",""
"FB1","18mm","8mm","Top",0,"L0805",""
"J1","45.5625mm","1mm","Top",90,"GCT_USB4215-03-A_REVA",""
"J2","-28.5mm","15mm","Top",270,"",""
"J3","-28.5mm","-15mm","Top",270,"",""
"J4","0mm","47.545mm","Top",0,"",""
"J5","40mm","-26.5mm","Top",0,"FTSH-107-XX-YYY-DV-K-P-TR",""
"LED1","20mm","-47.2mm","Top",0,"D_0603_1608Metric",""
"LED2","28mm","-47.2mm","Top",0,"",""
"LED3","36mm","-47.2mm","Top",0,"",""
"LED4","44mm","-47.2mm","Top",0,"LED0603-RD",""
"Q1","-10mm","39mm","Top",0,"SOT-23-3_L2.9-W1.6-P1.90-LS2.8-BR",""
"Q2","-7mm","35.5mm","Top",0,"SOT-23-3_L2.9-W1.3-P1.90-LS2.4-BR",""
"R1","44mm","6.5mm","Top",0,"SMD_0603_1608Metric","5.1kΩ"
"R2","44mm","-4.5mm","Top",0,"SMD_0603_1608Metric","5.1kΩ"
"R3","47mm","7mm","Top",0,"SMD_0603_1608Metric","0Ω"
"R4","31mm","17.8mm","Top",0,"SMD_0603_1608Metric","100kΩ"
"R5","22mm","7mm","Top",0,"SMD_0603_1608Metric","10kΩ"
"R6","27.5mm","7mm","Top",0,"SMD_0603_1608Metric","10kΩ"
"R7","-19.5mm","15mm","Top",0,"SMD_1206_3216Metric","300kΩ"
"R8","-14.5mm","15mm","Top",0,"SMD_1206_3216Metric","300kΩ"
"R9","-9.5mm","15mm","Top",0,"SMD_1206_3216Metric","300kΩ"
"R10","-7.5mm","10.5mm","Top",90,"SMD_1206_3216Metric","200kΩ"
"R11","0mm","9mm","Top",0,"SMD_0603_1608Metric","10kΩ"
"R12","12mm","2.2mm","Top",0,"SMD_0603_1608Metric","47Ω"
"R13","-19.5mm","-15mm","Top",0,"SMD_1206_3216Metric","300kΩ"
"R14","-14.5mm","-15mm","Top",0,"SMD_1206_3216Metric","300kΩ"
"R15","-9.5mm","-15mm","Top",0,"SMD_1206_3216Metric","300kΩ"
"R16","-7.5mm","-10.5mm","Top",90,"SMD_1206_3216Metric","200kΩ"
"R17","0mm","-9mm","Top",0,"SMD_0603_1608Metric","10kΩ"
"R18","12mm","-2.2mm","Top",0,"SMD_0603_1608Metric","47Ω"
"R19","-15mm","43mm","Top",0,"SMD_2010_5025Metric","27Ω"
"R20","-11mm","35.5mm","Top",0,"SMD_0603_1608Metric","100kΩ"
"R21","-3.5mm","35.5mm","Top",0,"SMD_0603_1608Metric","100Ω"
"R22","-7mm","32.5mm","Top",0,"SMD_0603_1608Metric","100kΩ"
"R23","-31mm","-35.5mm","Top",0,"SMD_0603_1608Metric","10kΩ"
"R24","-28mm","-35.5mm","Top",0,"SMD_0603_1608Metric","100Ω"
"R25","-15mm","-35.5mm","Top",0,"SMD_0603_1608Metric","10kΩ"
"R26","-12mm","-35.5mm","Top",0,"SMD_0603_1608Metric","100Ω"
"R27","1mm","-35.5mm","Top",0,"SMD_0603_1608Metric","10kΩ"
"R28","4mm","-35.5mm","Top",0,"SMD_0603_1608Metric","100Ω"
"R29","20mm","-43.5mm","Top",0,"SMD_0603_1608Metric","200Ω"
"R30","28mm","-43.5mm","Top",0,"SMD_0603_1608Metric","200Ω"
"R31","36mm","-43.5mm","Top",0,"SMD_0603_1608Metric","200Ω"
"R32","44mm","-43.5mm","Top",0,"SMD_0603_1608Metric","200Ω"
"R33","13.5mm","8mm","Top",0,"SMD_0603_1608Metric","0Ω"
"SW1","-28mm","-42.9mm","Top",90,"",""
"SW2","-12mm","-42.9mm","Top",90,"",""
"SW3","4mm","-42.9mm","Top",90,"",""
"TP_3V3","30.5mm","8mm","Top",0,"",""
"TP_BL_K","-14mm","37.5mm","Top",0,"",""
"TP_CH1_ADC","16mm","4mm","Top",0,"",""
"TP_CH1_DIV","-5.2mm","15.5mm","Top",0,"",""
"TP_CH1_IN","-23mm","15mm","Top",0,"",""
"TP_CH2_ADC","16mm","-4mm","Top",0,"",""
"TP_CH2_DIV","-5.2mm","-15.5mm","Top",0,"",""
"TP_CH2_IN","-23mm","-15mm","Top",0,"",""
"TP_GND","11mm","12mm","Top",0,"CONN-TH_L3.0-W1.2",""
"TP_NRST","32mm","-9mm","Top",0,"",""
"TP_USB_DM","36mm","-1.8mm","Top",0,"",""
"TP_USB_DP","36mm","3.8mm","Top",0,"",""
"TP_VBUS_PROT","38.5mm","20mm","Top",0,"",""
"TP_VBUS_RAW","43mm","10mm","Top",0,"",""
"TP_VDDA","15mm","11mm","Top",0,"",""
"U1","25mm","0mm","Top",0,"UFQFPN-32_L5.0-W5.0-P0.50-TL-EP3.5",""
"U2","31mm","12mm","Top",0,"SOT-89-5_L4.5-W2.5-P1.50-LS4.5-BR",""
