Ref,Val,Package,PosX,PosY,Rot,Side
"C1","4.7uF","SMD_0805_2012Metric","26.5mm","15.5mm",0,"Top"
"C2","4.7uF","SMD_0805_2012Metric","26.5mm","9.5mm",0,"Top"
"C3","100nF","SMD_0603_1608Metric","21mm","3.6mm",0,"Top"
"C4","100nF","SMD_0603_1608Metric","29.5mm","-3.2mm",0,"Top"
"C5","4.7uF","SMD_0805_2012Metric","28.8mm","4mm",0,"Top"
"C6","100nF","SMD_0603_1608Metric","21.5mm","-3.7mm",0,"Top"
"C7","1uF","SMD_0603_1608Metric","24.2mm","-4.4mm",0,"Top"
"C8","10nF","SMD_0603_1608Metric","21.5mm","-5.5mm",0,"Top"
"C9","1uF","SMD_0603_1608Metric","24.2mm","-6.2mm",0,"Top"
"C10","100nF","SMD_0603_1608Metric","24.8mm","7mm",0,"Top"
"C11","100nF","SMD_0603_1608Metric","7mm","-6mm",0,"Top"
"C12","12pF","SMD_0603_1608Metric","-19.5mm","17.5mm",0,"Top"
"C13","12pF","SMD_0603_1608Metric","-14.5mm","17.5mm",0,"Top"
"C14","12pF","SMD_0603_1608Metric","-9.5mm","17.5mm",0,"Top"
"C15","8.2pF","SMD_0603_1608Metric","-10mm","10.5mm",90,"Top"
"C18","1.0nF","SMD_0603_1608Metric","19mm","2mm",0,"Top"
"C19","12pF","SMD_0603_1608Metric","-19.5mm","-17.5mm",0,"Top"
"C20","12pF","SMD_0603_1608Metric","-14.5mm","-17.5mm",0,"Top"
"C21","12pF","SMD_0603_1608Metric","-9.5mm","-17.5mm",0,"Top"
"C22","8.2pF","SMD_0603_1608Metric","-10mm","-10.5mm",90,"Top"
"C25","1.0nF","SMD_0603_1608Metric","19mm","-2mm",0,"Top"
"C26","100nF","SMD_0603_1608Metric","-8.5mm","44.5mm",0,"Top"
"C27","1uF","SMD_0603_1608Metric","20mm","44.5mm",0,"Top"
"C28","100nF","SMD_0603_1608Metric","-25mm","-35.5mm",0,"Top"
"C29","100nF","SMD_0603_1608Metric","-9mm","-35.5mm",0,"Top"
"C30","100nF","SMD_0603_1608Metric","7mm","-35.5mm",0,"Top"
"D1","","","40mm","1mm",0,"Top"
"D2","","D_SMA","36mm","15.5mm",0,"Top"
"D3","","SOT-23_L2.9-W1.3-P1.90-LS2.4-BR","-3mm","13mm",0,"Top"
"D4","","SOT-23_L2.9-W1.3-P1.90-LS2.4-BR","-3mm","-13mm",0,"Top"
"F1","","F0805","39.5mm","9.5mm",0,"Top"
"FB1","","L0805","18mm","8mm",0,"Top"
"J1","","GCT_USB4215-03-A_REVA","45.5625mm","1mm",90,"Top"
"J2","","","-28.5mm","15mm",270,"Top"
"J3","","","-28.5mm","-15mm",270,"Top"
"J4","","","0mm","47.545mm",0,"Top"
"J5","","FTSH-107-XX-YYY-DV-K-P-TR","40mm","-26.5mm",0,"Top"
"LED1","","D_0603_1608Metric","20mm","-47.2mm",0,"Top"
"LED2","","","28mm","-47.2mm",0,"Top"
"LED3","","","36mm","-47.2mm",0,"Top"
"LED4","","LED0603-RD","44mm","-47.2mm",0,"Top"
"Q1","","SOT-23-3_L2.9-W1.6-P1.90-LS2.8-BR","-10mm","39mm",0,"Top"
"Q2","","SOT-23-3_L2.9-W1.3-P1.90-LS2.4-BR","-7mm","35.5mm",0,"Top"
"R1","5.1kΩ","SMD_0603_1608Metric","44mm","6.5mm",0,"Top"
"R2","5.1kΩ","SMD_0603_1608Metric","44mm","-4.5mm",0,"Top"
"R3","0Ω","SMD_0603_1608Metric","47mm","7mm",0,"Top"
"R4","100kΩ","SMD_0603_1608Metric","31mm","17.8mm",0,"Top"
"R5","10kΩ","SMD_0603_1608Metric","22mm","7mm",0,"Top"
"R6","10kΩ","SMD_0603_1608Metric","27.5mm","7mm",0,"Top"
"R7","300kΩ","SMD_1206_3216Metric","-19.5mm","15mm",0,"Top"
"R8","300kΩ","SMD_1206_3216Metric","-14.5mm","15mm",0,"Top"
"R9","300kΩ","SMD_1206_3216Metric","-9.5mm","15mm",0,"Top"
"R10","200kΩ","SMD_1206_3216Metric","-7.5mm","10.5mm",90,"Top"
"R11","10kΩ","SMD_0603_1608Metric","0mm","9mm",0,"Top"
"R12","47Ω","SMD_0603_1608Metric","12mm","2.2mm",0,"Top"
"R13","300kΩ","SMD_1206_3216Metric","-19.5mm","-15mm",0,"Top"
"R14","300kΩ","SMD_1206_3216Metric","-14.5mm","-15mm",0,"Top"
"R15","300kΩ","SMD_1206_3216Metric","-9.5mm","-15mm",0,"Top"
"R16","200kΩ","SMD_1206_3216Metric","-7.5mm","-10.5mm",90,"Top"
"R17","10kΩ","SMD_0603_1608Metric","0mm","-9mm",0,"Top"
"R18","47Ω","SMD_0603_1608Metric","12mm","-2.2mm",0,"Top"
"R19","27Ω","SMD_2010_5025Metric","-15mm","43mm",0,"Top"
"R20","100kΩ","SMD_0603_1608Metric","-11mm","35.5mm",0,"Top"
"R21","100Ω","SMD_0603_1608Metric","-3.5mm","35.5mm",0,"Top"
"R22","100kΩ","SMD_0603_1608Metric","-7mm","32.5mm",0,"Top"
"R23","10kΩ","SMD_0603_1608Metric","-31mm","-35.5mm",0,"Top"
"R24","100Ω","SMD_0603_1608Metric","-28mm","-35.5mm",0,"Top"
"R25","10kΩ","SMD_0603_1608Metric","-15mm","-35.5mm",0,"Top"
"R26","100Ω","SMD_0603_1608Metric","-12mm","-35.5mm",0,"Top"
"R27","10kΩ","SMD_0603_1608Metric","1mm","-35.5mm",0,"Top"
"R28","100Ω","SMD_0603_1608Metric","4mm","-35.5mm",0,"Top"
"R29","200Ω","SMD_0603_1608Metric","20mm","-43.5mm",0,"Top"
"R30","200Ω","SMD_0603_1608Metric","28mm","-43.5mm",0,"Top"
"R31","200Ω","SMD_0603_1608Metric","36mm","-43.5mm",0,"Top"
"R32","200Ω","SMD_0603_1608Metric","44mm","-43.5mm",0,"Top"
"R33","0Ω","SMD_0603_1608Metric","13.5mm","8mm",0,"Top"
"SW1","","","-28mm","-42.9mm",90,"Top"
"SW2","","","-12mm","-42.9mm",90,"Top"
"SW3","","","4mm","-42.9mm",90,"Top"
"TP_3V3","","","30.5mm","8mm",0,"Top"
"TP_BL_K","","","-14mm","37.5mm",0,"Top"
"TP_CH1_ADC","","","16mm","4mm",0,"Top"
"TP_CH1_DIV","","","-5.2mm","15.5mm",0,"Top"
"TP_CH1_IN","","","-23mm","15mm",0,"Top"
"TP_CH2_ADC","","","16mm","-4mm",0,"Top"
"TP_CH2_DIV","","","-5.2mm","-15.5mm",0,"Top"
"TP_CH2_IN","","","-23mm","-15mm",0,"Top"
"TP_GND","","CONN-TH_L3.0-W1.2","11mm","12mm",0,"Top"
"TP_NRST","","","32mm","-9mm",0,"Top"
"TP_USB_DM","","","36mm","-1.8mm",0,"Top"
"TP_USB_DP","","","36mm","3.8mm",0,"Top"
"TP_VBUS_PROT","","","38.5mm","20mm",0,"Top"
"TP_VBUS_RAW","","","43mm","10mm",0,"Top"
"TP_VDDA","","","15mm","11mm",0,"Top"
"U1","","UFQFPN-32_L5.0-W5.0-P0.50-TL-EP3.5","25mm","0mm",0,"Top"
"U2","","SOT-89-5_L4.5-W2.5-P1.50-LS4.5-BR","31mm","12mm",0,"Top"
"U3","","SOP65P490X110-8N","7mm","0mm",270,"Top"
